,id,idYTMusic,colaboracion,subscriptores,views
MC Hariel,136,UCZEu7IEubkJEBuNVIsCO3bg,"['Mc IG', 'Felipe Araújo']",1.54M,No info
MC Joãozinho VT,137,UCEWsUvm0WtG5jFFgr9u5PXQ,"['MC Don Juan', 'MC Ryan SP']",154K,No info
MC Kelvinho,138,UCJ1QZPoECRW-eTp0CEalvSQ,"['Mc Paiva ZS', 'MC Ryan SP']",54.2K,No info
Alexander Delgado (Gente D' Zona),139,UCb6I84uAdPiLw3A_ypU3gnA,['Nesty'],27,No info
Cardi B,140,UCoIp9Cj1l7k63B90hFg38Zw,['ROSALÍA'],18.7M,No info
Puerto Rican Power,141,UCTTxR9ar3n24tCV5cwfJTxQ,['Olga Tañon'],73.7K,"111,051,981 views"
Christian Alicea,142,UCSOgRRwjSlsQzbNqZSNNeHQ,['DJ Buddha'],14.3K,No info
Los Ángeles Azules,143,UCbjHMB9FdaTig0UyrwGNYHA,"['Juanes', 'Guaynaa', 'Sofia Reyes', 'Esteman', 'Nicki Nicole', 'Guaynaa', 'Sofia Reyes', 'Esteman']",8.5M,"10,743,294,707 views"
Daddy Yankee,144,UCXRloA7YFgCfd6sU2_Y12cA,"['Marc Anthony', 'Marc Anthony']",37.5M,"21,621,291,546 views"
Antony Santos,145,UCbYOXeuF-NfKAVp0ZqIaBnA,['Ozuna'],685K,"484,486,493 views"
Don Omar,146,UCTrIOPtBeAN2E0R-sgU9JxA,['Lil Jon'],9.8M,"8,520,032,929 views"
Gente de Zona,147,UCl2KQVc_GFH081i7b9CJQug,['Maffio'],3.03M,"2,963,251,038 views"
Justin Timberlake,148,UC6VwktUsQQDCkHG1h6YftAQ,['Romeo Santos'],10.1M,"6,836,362,430 views"
Camila Cabello,149,UCsZIVNwBqtPBX-41kO_rQzQ,"['Camilo', 'Camilo']",16.1M,"6,337,912,793 views"
Daniel Santacruz,150,UCjvediIPs_e1uIBlHt0oT5Q,['Nacho'],621K,"366,944,455 views"
Leoni Torres,151,UCnpUiBSTMe83OBKBwm2k2zA,['Diana Fuentes'],379K,No info
Tito Nieves,152,UCUy2SaC4ovXQ0Kej7Q7CvJA,"['Norbert', 'Daniela Darcourt', 'Norbert']",293K,"218,440,169 views"
G combo,153,UCCZtUmexZfpF-C_Lq-ym2Sw,['Owem-G'],117,No info
Fuerza Regida,154,UC0kxNxFQCK6d2spPz5Sme7Q,"['Grupo Frontera', 'Natanael Cano']",1.33M,No info
Grupo Frontera,155,UCJa2FF4TUB13Mm0GurZAqog,"['Carin Leon', 'Fuerza Regida']",844K,No info
Grupo Marca Registrada,156,UCJrXHTk9F1cFhjc88PALfgA,['Junior H'],732K,"717,711,865 views"
Junior H,157,UCwA5HHGsAlpU1UlhwWD52uA,['Edgardo Nuñez'],451K,No info
Ángela Aguilar,158,UC4cu15Vfy2VLuqV-pQSXSug,['Yuridia'],3.5M,"899,695,261 views"
Gabito Ballesteros,159,UCYMm2JZ_mvXYr7vT9-8_thw,['Junior H'],8.81K,No info
